,book_title,book_recommendation_urls
37,Old Manor House,"['https://librivox.org/the-life-of-charlotte-bronte-volume-1-by-elizabeth-cleghorn-gaskell/', 'https://librivox.org/the-professor-by-charlotte-bronte/', 'https://librivox.org/the-wide-wide-world-by-susan-warner/', 'https://librivox.org/lavender-and-old-lace-by-myrtle-reed/', 'https://librivox.org/esther-waters-by-george-moore/']"
38,Rachel Ray,"['https://librivox.org/the-rosary-by-florence-louisa-barclay/', 'https://librivox.org/queen-lucia-by-edward-frederic-benson/', 'https://librivox.org/the-last-of-the-mohicans-by-james-fenimore-cooper/', 'https://librivox.org/anne-of-the-island-by-lucy-maud-montgomery/', 'https://librivox.org/if-by-rudyard-kipling/']"
39,Rose in Bloom,"['https://librivox.org/the-adventures-of-huckleberry-finn-by-mark-twain/', 'https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/mrs-caudles-curtain-lectures-by-douglas-william-jerrold/']"
40,In Defense of Harriet Shelley,"['https://librivox.org/uncle-toms-cabin-by-harriet-beecher-stowe/', 'https://librivox.org/chapters-from-my-authobiography-by-mark-twain/', 'https://librivox.org/the-prince-and-the-pauper-by-mark-twain/', 'https://librivox.org/the-stolen-white-elephant-by-mark-twain/', 'https://librivox.org/the-innocents-abroad-by-mark-twain/']"
41,Story of Peterloo,"['https://librivox.org/capital-volume-1-by-karl-marx/', 'https://librivox.org/the-point-of-honor-by-joseph-conrad/', 'https://librivox.org/hist-of-england-thru-james-ii-vol-3-ch-14-by-macaulay/', 'https://librivox.org/the-history-of-england-from-the-accession-of-james-iivol-3-ch-15-by-thomas-babbington-macauley/', 'https://librivox.org/vices-are-not-crimes-by-lysander-spooner/']"
42,Silver Filigree,"['https://librivox.org/art-and-heart-by-ella-wheeler-wilcox/', 'https://librivox.org/a-vagabond-song-by-bliss-carman/', 'https://librivox.org/death-be-not-proud-by-john-donne/', 'https://librivox.org/a-noiseless-patient-spider-by-walt-whitman/', 'https://librivox.org/i-do-not-love-thee-by-caroline-norton/']"
43,Bible (KJV) NT 27: Revelation,"['https://librivox.org/rilla-of-ingleside-by-lucy-maud-montgomery/', 'https://librivox.org/book-of-john/', 'https://librivox.org/the-sermon-on-the-mount-selections-from-the-king-james-bible/', 'https://librivox.org/bible-kjv-nt-03-luke/', 'https://librivox.org/the-ballad-of-reading-gaol-by-oscar-wilde-ll/']"
44,"Pride and Prejudice (version 6, dramatic reading)","['https://librivox.org/letters-of-two-brides-by-honore-de-balzac/', 'https://librivox.org/bleak-house-by-charles-dickens/', 'https://librivox.org/this-side-of-paradise-by-f-scott-fitzgerald', 'https://librivox.org/the-adventures-of-huckleberry-finn-by-mark-twain/', 'https://librivox.org/the-odyssey-by-homer/']"
45,Mysterious Island (version 2),"['https://librivox.org/letters-of-two-brides-by-honore-de-balzac/', 'https://librivox.org/bleak-house-by-charles-dickens/', 'https://librivox.org/this-side-of-paradise-by-f-scott-fitzgerald', 'https://librivox.org/the-adventures-of-huckleberry-finn-by-mark-twain/', 'https://librivox.org/the-odyssey-by-homer/']"
46,"Historical Tales, Vol VI: French","['https://librivox.org/the-acadian-exiles-a-chronicle-of-the-land-of-evangeline/', 'https://librivox.org/ball-of-fat-by-guy-de-maupassant/', 'https://librivox.org/lilith-by-george-macdonald/', 'https://librivox.org/the-book-of-art-for-young-people-by-agnes-ethel-conway-and-sir-martin-conway/', 'https://librivox.org/the-life-of-cicero-vol-i-by-anthony-trollope/']"
47,Commentary on Galatians,"['https://librivox.org/the-voyage-of-the-beagle-by-charles-darwin/', 'https://librivox.org/galatians-asv-ss/', 'https://librivox.org/the-first-epistle-of-john/', 'https://librivox.org/the-first-epistle-of-paul-the-apostle-to-timothy-asv-ss/', 'https://librivox.org/the-second-epistle-of-paul-the-apostle-to-timothy-asv-ss/']"
48,Big Time,"['https://librivox.org/hamlet-by-william-shakespeare/', 'https://librivox.org/twelfth-night-by-william-shakespeare/', 'https://librivox.org/the-pirates-of-penzance-by-william-s-gilbert-and-sir-arthur-sullivan/', 'https://librivox.org/the-story-of-the-treasure-seekers-by-e-nesbit/', 'https://librivox.org/railway-children-by-e-nesbit/']"
